CT_id,CT_name,CT_address,CT_lat,CT_long
180,INTREPID LIFE COFFEE & SPIRITS,106 W PARRISH ST STE 1,35.99585572,-78.90064799
181,GREAT STOPS  LLC,1502 W NC HIGHWAY 54,35.91800739,-78.96545749
182,GREAT STOPS LLC,1502 W NC HIGHWAY 54,35.91800739,-78.96545749
183,MARIA LUISA POMA  MARCIAL POMA,4701 HILLSBOROUGH RD,36.03265278,-78.98242883
184,TIENDA Y CRNCRIA LA MRQETA INC,4701 HILLSBOROUGH RD,36.03265278,-78.98242883
185,WALGREEN CO,1109 W NC HIGHWAY 54,35.91939375,-78.95844459
186,FOOD LION LLC,2000 CHAPEL HILL RD STE 8,35.98682633,-78.92722216
187,WINECOM  INC,2933 S MIAMI BLVD STE 126,35.92598663,-78.84569074
188,BEER DURHAM,404 HUNT ST,36.00022764,-78.90316904
189,CIRCLE K STORES INC,3321 APEX HWY STE 55,35.93275061,-78.8881846
190,KERR DRUG  INC,1821 HILLANDALE RD STE 23,36.03081241,-78.93582496
191,TIENDA MI BARRIO LLC,2405 GUESS RD,36.0263373,-78.9226107
192,TOBACCO PLUS MINI MART LLC,2017 CHAPEL HILL RD,35.98649415,-78.92784921
193,SCI DUKE FUND 11 LLC,2200 W MAIN ST STE 240,36.00719753,-78.92682354
194,TRINITY FAMILY FAIR,1016 W MAIN ST,36.00108547,-78.91092566
195,FARMERS ORGANIZATION OF DURHAM,5410 NC HIGHWAY 55,35.88987956,-78.89602198
196,W CLAYTON INC,3834 GUESS RD,36.06011858,-78.92889703
197,RETAIL SERVICES & SYSTEMS INC,3615 WITHERSPOON BLVD,35.94885557,-78.98949662
198,ECKERD CORPORATION,101 BROADWAY ST,36.00031682,-78.89629035
199,SO ICEY CONVENIENCE STORE,2500 KINGDOM WAY,36.03073971,-78.8719617
200,LITTLE BURMA ASIAN MARKET,11 KINGFISHER WAY,35.94576924,-78.92080006
201,GEORGE BELL JR,218 W LAKEWOOD AVE,35.98729686,-78.9069618
202,FOOD LION  LLC,2121 TW ALEXANDER DR,35.9192685,-78.81037041
203,FOOD LION LLC,4711 HOPE VALLEY RD STE 2,35.92187813,-78.95772068
204,CRUIZERS,1914 SEDWICK RD,35.88885506,-78.89629822
205,HOLMES OIL COMPANY  INC,1914 SEDWICK RD,35.88885506,-78.89629822
206,TRUBUY,1914 SEDWICK RD,35.88885506,-78.89629822
207,UNCLE HARRYS GENERAL STORE,1917 YEARBY AVE,36.00437648,-78.92874984
208,PEBBLE BROOK SPIRITS,803 RAMSEUR ST,35.98873469,-78.8949529
209,AHMED ABDO MIJALLI MOHAMED HUS,1432 E LAWSON ST,35.97410336,-78.88538649
210,L & D GRILL,2620 ANGIER AVE,35.97842982,-78.87102245
211,CLINIC PHARMACY INC,2726 CROASDAILE DR,36.02879603,-78.93754412
212,MARMAXX OPERATING CORP,5438 NEW HOPE COMMONS DR,35.95385834,-78.99573462
213,WAL-MART STORES  INC,5450 NEW HOPE COMMONS DR,35.95364577,-78.99622034
214,HOMEGOODS  INC,8200 RENAISSANCE PKWY,35.90320364,-78.95139205
215,UNIVERSITY DRIVE BP,1101 UNIVERSITY DR,35.98651513,-78.90891628
216,BLACK MKT,2302 CHAPEL HILL RD,35.98284603,-78.93092855
217,DOLLAR TREE  INC,4402 FAYETTEVILLE ST,35.94207216,-78.90598147
218,CENTRAL COMPOUNDING CTR S LLC,2609 N DUKE ST,36.03104085,-78.9055444
219,WHB ENTERPRISES LTD,2609 N DUKE ST STE 103,36.03104085,-78.9055444
220,1233 FOOD CORP  INC,1233 UNIVERSITY DR,35.98521786,-78.91054111
221,DRUG SAFETY ALLIANCE,2775 MERIDIAN PKWY,35.91453303,-78.90175504
222,ADAMFOODMA,520 QUARTZ DR,35.98990217,-78.82119006
223,KROGER CO,5116 N ROXBORO ST,36.06833707,-78.90740469
224,UPCHURCH DRUGS & OPTICAL CTR,5108 N ROXBORO ST,36.06813079,-78.90729552
225,FOREST HILLS FOOD MART,1251 UNIVERSITY DR,35.98460832,-78.91128115
226,VIJAYA PHARMACEUTICALS  LLC,104 TW ALEXANDER DR,35.8968995,-78.87980684
227,CONVENIENTLY CONVENIENT LLC,1018 PARK GLEN PL,35.89051362,-78.92042709
228,MARKET MANAGERS  INC,3510 DIXON RD,35.95541986,-78.94121439
229,DRUG SAFETY NAVIGATOR LLC,2 DAVIS DR,35.90330768,-78.85798363
230,ROBERTS COUNTRY STORE,602 SHERRON RD,35.96624883,-78.80553577
231,TRIANGULAR CARWASH INC,5515 S ROXBORO ST UNIT 1,35.92706359,-78.95230328
232,BULL CITY VAPOR,4841 INDUSTRY LN STE B,35.93803228,-78.90359435
233,MITHAI INC,5119 CAROLWOOD LN,35.93146464,-78.94125751
234,UNC SHARED SERVICES CTR PHRM,4400 EMPEROR BLVD,35.87367515,-78.8415869
235,TIENDA LA FAVORITA,4226 GARRETT RD,35.95979061,-78.97557432
236,VINCENT E GAVER PHARMD,3444 RUGBY RD,35.93928761,-78.95662695
237,JAZZ TOWN FOOD & BEVERAGE LLC,806 BLUESTONE RD,35.91983261,-78.90906081
238,BOWERBIRD FLWERS APTHECARY LLC,3915 BERRY BUSH PL,35.97098673,-78.9858893
239,TRINITY FOOD MART LLC,1315 DOC NICHOLS RD,35.95394429,-78.79280698
240,PHARM LC,213 GALWAY DR,35.92558686,-79.0041602
241,SPOTLESS MOBILE POWERWASH,2820 PROSPECT PKWY,35.95316338,-78.81314321
242,LOMO MARKET  LLC,4415 ERWIN RD,35.99227287,-78.97974227
243,FUEL USA  LLC,1 STONEGLEN CT,36.11812254,-78.85877036
